Source,Target,Edge_Type
entailed_polarity_hindi,16_attn.k,1
entailed_polarity_hindi,19_attn.k,1
entailed_polarity_hindi,28_attn.k,1
entailed_polarity_hindi,28_attn.o,1
epistemic_reasoning,4_attn.v,1
epistemic_reasoning,25_attn.k,1
evaluating_information_essentiality,8_attn.q,1
evaluating_information_essentiality,17_attn.v,1
evaluating_information_essentiality,22_attn.k,1
evaluating_information_essentiality,29_attn.v,1
fact_checker,4_attn.k,1
fact_checker,5_attn.v,1
fact_checker,6_attn.v,1
fact_checker,8_attn.q,1
fact_checker,12_attn.q,1
fact_checker,18_attn.o,1
fact_checker,29_attn.q,1
fantasy_reasoning,11_attn.o,1
fantasy_reasoning,22_attn.v,1
fantasy_reasoning,28_attn.o,1
figure_of_speech_detection,3_attn.v,1
figure_of_speech_detection,14_attn.v,1
figure_of_speech_detection,27_attn.q,1
formal_fallacies_syllogisms_negation,6_attn.q,1
formal_fallacies_syllogisms_negation,13_attn.o,1
formal_fallacies_syllogisms_negation,20_attn.v,1
general_knowledge,4_attn.o,1
general_knowledge,16_attn.v,1
general_knowledge,20_attn.v,1
general_knowledge,23_attn.v,1
general_knowledge,27_attn.q,1
geometric_shapes,4_attn.k,1
geometric_shapes,5_attn.v,1
geometric_shapes,12_attn.k,1
geometric_shapes,12_attn.v,1
geometric_shapes,16_attn.v,1
goal_step_wikihow,3_attn.k,1
goal_step_wikihow,10_attn.q,1
goal_step_wikihow,11_attn.q,1
goal_step_wikihow,19_attn.o,1
gre_reading_comprehension,19_attn.k,1
gre_reading_comprehension,21_attn.k,1
hhh_alignment,20_attn.q,1
hhh_alignment,25_attn.v,1
hhh_alignment,30_attn.o,1
hindu_knowledge,20_attn.v,1
hinglish_toxicity,8_attn.o,1
hinglish_toxicity,27_attn.k,1
human_organs_senses,4_attn.q,1
human_organs_senses,8_attn.k,1
human_organs_senses,22_attn.k,1
human_organs_senses,25_attn.k,1
hyperbaton,8_attn.q,1
hyperbaton,12_attn.v,1
hyperbaton,15_attn.o,1
hyperbaton,20_attn.q,1
hyperbaton,26_attn.k,1
identify_math_theorems,9_attn.k,1
identify_math_theorems,18_attn.v,1
identify_math_theorems,20_attn.q,1
identify_math_theorems,21_attn.q,1
identify_odd_metaphor,5_attn.v,1
identify_odd_metaphor,6_attn.o,1
identify_odd_metaphor,23_attn.o,1
identify_odd_metaphor,29_attn.q,1
implicatures,15_attn.k,1
implicatures,22_attn.o,1
implicit_relations,3_attn.v,1
implicit_relations,20_attn.q,1
indic_cause_and_effect,6_attn.v,1
indic_cause_and_effect,18_attn.q,1
indic_cause_and_effect,20_attn.q,1
indic_cause_and_effect,29_attn.v,1
intent_recognition,6_attn.o,1
intent_recognition,10_attn.v,1
intent_recognition,15_attn.o,1
intent_recognition,27_attn.q,1
international_phonetic_alphabet_nli,12_attn.o,1
international_phonetic_alphabet_nli,22_attn.k,1
international_phonetic_alphabet_nli,23_attn.o,1
international_phonetic_alphabet_nli,26_attn.k,1
intersect_geometry,3_attn.o,1
intersect_geometry,8_attn.k,1
irony_identification,8_attn.o,1
irony_identification,10_attn.k,1
kannada,12_attn.q,1
kannada,26_attn.v,1
kannada,28_attn.o,1
kannada,29_attn.q,1
key_value_maps,3_attn.k,1
key_value_maps,5_attn.q,1
key_value_maps,12_attn.q,1
key_value_maps,17_attn.k,1
key_value_maps,20_attn.v,1
known_unknowns,3_attn.k,1
known_unknowns,5_attn.q,1
language_identification,10_attn.q,1
language_identification,12_attn.k,1
language_identification,14_attn.k,1
language_identification,16_attn.v,1
language_identification,21_attn.q,1
logical_args,3_attn.q,1
logical_args,3_attn.k,1
logical_args,3_attn.v,1
logical_args,3_attn.o,1
logical_args,4_attn.q,1
logical_args,4_attn.k,1
logical_args,4_attn.v,1
logical_args,4_attn.o,1
logical_args,5_attn.q,1
logical_args,5_attn.k,1
logical_args,5_attn.v,1
logical_args,5_attn.o,1
logical_args,6_attn.q,1
logical_args,6_attn.k,1
logical_args,6_attn.v,1
logical_args,6_attn.o,1
logical_args,7_attn.q,1
logical_args,7_attn.k,1
logical_args,7_attn.v,1
logical_args,7_attn.o,1
logical_args,8_attn.q,1
logical_args,8_attn.k,1
logical_args,8_attn.v,1
logical_args,8_attn.o,1
logical_args,9_attn.q,1
logical_args,9_attn.k,1
logical_args,9_attn.v,1
logical_args,9_attn.o,1
logical_args,10_attn.q,1
logical_args,10_attn.k,1
logical_args,10_attn.v,1
logical_args,10_attn.o,1
logical_args,11_attn.q,1
logical_args,11_attn.k,1
logical_args,11_attn.v,1
logical_args,11_attn.o,1
logical_args,12_attn.q,1
logical_args,12_attn.k,1
logical_args,12_attn.v,1
logical_args,12_attn.o,1
logical_args,13_attn.q,1
logical_args,13_attn.k,1
logical_args,13_attn.v,1
logical_args,13_attn.o,1
logical_args,14_attn.q,1
logical_args,14_attn.k,1
logical_args,14_attn.v,1
logical_args,14_attn.o,1
logical_args,15_attn.q,1
logical_args,15_attn.k,1
logical_args,15_attn.v,1
logical_args,15_attn.o,1
logical_args,16_attn.q,1
logical_args,16_attn.k,1
logical_args,16_attn.v,1
logical_args,16_attn.o,1
logical_args,17_attn.q,1
logical_args,17_attn.k,1
logical_args,17_attn.v,1
logical_args,17_attn.o,1
logical_args,18_attn.q,1
logical_args,18_attn.k,1
logical_args,18_attn.v,1
logical_args,18_attn.o,1
logical_args,19_attn.q,1
logical_args,19_attn.k,1
logical_args,19_attn.v,1
logical_args,19_attn.o,1
logical_args,20_attn.q,1
logical_args,20_attn.k,1
logical_args,20_attn.v,1
logical_args,20_attn.o,1
logical_args,21_attn.q,1
logical_args,21_attn.k,1
logical_args,21_attn.v,1
logical_args,21_attn.o,1
logical_args,22_attn.q,1
logical_args,22_attn.k,1
logical_args,22_attn.v,1
logical_args,22_attn.o,1
logical_args,23_attn.q,1
logical_args,23_attn.k,1
logical_args,23_attn.v,1
logical_args,23_attn.o,1
logical_args,24_attn.q,1
logical_args,24_attn.k,1
logical_args,24_attn.v,1
logical_args,24_attn.o,1
logical_args,25_attn.q,1
logical_args,25_attn.k,1
logical_args,25_attn.v,1
logical_args,25_attn.o,1
logical_args,26_attn.q,1
logical_args,26_attn.k,1
logical_args,26_attn.v,1
logical_args,26_attn.o,1
logical_args,27_attn.q,1
logical_args,27_attn.k,1
logical_args,27_attn.v,1
logical_args,27_attn.o,1
logical_args,28_attn.q,1
logical_args,28_attn.k,1
logical_args,28_attn.v,1
logical_args,28_attn.o,1
logical_args,29_attn.q,1
logical_args,29_attn.k,1
logical_args,29_attn.v,1
logical_args,29_attn.o,1
logical_args,30_attn.q,1
logical_args,30_attn.k,1
logical_args,30_attn.v,1
logical_args,30_attn.o,1
logical_deduction,3_attn.o,1
logical_deduction,10_attn.o,1
logical_deduction,16_attn.o,1
logical_deduction,19_attn.o,1
logical_deduction,25_attn.q,1
logical_fallacy_detection,8_attn.o,1
logical_fallacy_detection,10_attn.v,1
logical_sequence,18_attn.k,1
logical_sequence,29_attn.v,1
logical_sequence,29_attn.o,1
mathematical_induction,4_attn.q,1
mathematical_induction,7_attn.k,1
mathematical_induction,7_attn.o,1
mathematical_induction,18_attn.q,1
medical_questions_russian,5_attn.o,1
medical_questions_russian,8_attn.v,1
medical_questions_russian,9_attn.k,1
medical_questions_russian,11_attn.v,1
medical_questions_russian,14_attn.q,1
medical_questions_russian,18_attn.q,1
metaphor_boolean,8_attn.k,1
metaphor_boolean,20_attn.v,1
metaphor_understanding,5_attn.k,1
metaphor_understanding,5_attn.v,1
metaphor_understanding,10_attn.k,1
metaphor_understanding,29_attn.k,1
misconceptions,3_attn.v,1
misconceptions,6_attn.q,1
mnist_ascii,29_attn.k,1
moral_permissibility,4_attn.o,1
moral_permissibility,8_attn.v,1
moral_permissibility,16_attn.q,1
moral_permissibility,23_attn.q,1
moral_permissibility,28_attn.k,1
movie_dialog_same_or_different,4_attn.q,1
movie_dialog_same_or_different,7_attn.o,1
movie_dialog_same_or_different,22_attn.k,1
movie_recommendation,6_attn.q,1
movie_recommendation,9_attn.k,1
movie_recommendation,23_attn.k,1
movie_recommendation,25_attn.v,1
navigate,4_attn.k,1
navigate,19_attn.o,1
nonsense_words_grammar,3_attn.v,1
nonsense_words_grammar,5_attn.v,1
nonsense_words_grammar,18_attn.q,1
nonsense_words_grammar,26_attn.o,1
nonsense_words_grammar,27_attn.o,1
nonsense_words_grammar,28_attn.k,1
novel_concepts,10_attn.k,1
novel_concepts,11_attn.q,1
novel_concepts,13_attn.o,1
novel_concepts,17_attn.k,1
novel_concepts,18_attn.o,1
novel_concepts,25_attn.o,1
novel_concepts,26_attn.q,1
odd_one_out,11_attn.o,1
odd_one_out,15_attn.q,1
odd_one_out,20_attn.v,1
parsinlu_qa,4_attn.o,1
parsinlu_qa,21_attn.v,1
parsinlu_qa,24_attn.k,1
penguins_in_a_table,10_attn.o,1
persian_idioms,5_attn.q,1
persian_idioms,11_attn.v,1
persian_idioms,12_attn.k,1
persian_idioms,14_attn.k,1
persian_idioms,17_attn.k,1
persian_idioms,24_attn.o,1
persian_idioms,27_attn.k,1
phrase_relatedness,14_attn.q,1
phrase_relatedness,22_attn.k,1
phrase_relatedness,24_attn.k,1
phrase_relatedness,26_attn.o,1
physical_intuition,3_attn.v,1
physical_intuition,6_attn.q,1
physical_intuition,10_attn.k,1
physical_intuition,11_attn.q,1
physical_intuition,16_attn.k,1
physical_intuition,21_attn.o,1
physics,8_attn.o,1
physics,22_attn.o,1
physics,23_attn.v,1
play_dialog_same_or_different,19_attn.q,1
play_dialog_same_or_different,19_attn.v,1
play_dialog_same_or_different,24_attn.o,1
play_dialog_same_or_different,27_attn.v,1
presuppositions_as_nli,5_attn.q,1
presuppositions_as_nli,16_attn.q,1
presuppositions_as_nli,22_attn.k,1
presuppositions_as_nli,28_attn.v,1
presuppositions_as_nli,29_attn.k,1
presuppositions_as_nli,29_attn.v,1
question_selection,17_attn.v,1
question_selection,23_attn.k,1
question_selection,23_attn.o,1
question_selection,24_attn.q,1
reasoning_about_colored_objects,12_attn.q,1
reasoning_about_colored_objects,14_attn.k,1
reasoning_about_colored_objects,21_attn.q,1
reasoning_about_colored_objects,28_attn.k,1
riddle_sense,23_attn.k,1
ruin_names,9_attn.v,1
ruin_names,12_attn.v,1
ruin_names,25_attn.k,1
salient_translation_error_detection,4_attn.o,1
salient_translation_error_detection,9_attn.o,1
salient_translation_error_detection,27_attn.q,1
salient_translation_error_detection,29_attn.o,1
sentence_ambiguity,6_attn.v,1
sentence_ambiguity,9_attn.q,1
sentence_ambiguity,25_attn.q,1
similarities_abstraction,5_attn.q,1
similarities_abstraction,6_attn.q,1
similarities_abstraction,14_attn.q,1
similarities_abstraction,14_attn.k,1
similarities_abstraction,16_attn.q,1
similarities_abstraction,17_attn.k,1
similarities_abstraction,22_attn.k,1
simple_ethical_questions,4_attn.q,1
simple_ethical_questions,18_attn.o,1
simple_ethical_questions,21_attn.q,1
snarks,6_attn.v,1
snarks,13_attn.o,1
snarks,27_attn.o,1
snarks,28_attn.q,1
snarks,30_attn.o,1
social_iqa,9_attn.q,1
social_iqa,10_attn.q,1
social_iqa,16_attn.k,1
social_iqa,18_attn.o,1
social_iqa,27_attn.o,1
social_support,6_attn.v,1
social_support,14_attn.q,1
social_support,15_attn.k,1
social_support,23_attn.k,1
sports_understanding,10_attn.k,1
sports_understanding,12_attn.k,1
sports_understanding,19_attn.v,1
sports_understanding,22_attn.k,1
strange_stories,13_attn.q,1
strange_stories,15_attn.v,1
strange_stories,18_attn.q,1
strange_stories,19_attn.q,1
strange_stories,28_attn.q,1
strategyqa,8_attn.q,1
strategyqa,15_attn.k,1
strategyqa,19_attn.v,1
strategyqa,30_attn.q,1
suicide_risk,3_attn.o,1
suicide_risk,5_attn.q,1
suicide_risk,20_attn.v,1
suicide_risk,24_attn.o,1
suicide_risk,26_attn.v,1
swedish_to_german_proverbs,6_attn.q,1
swedish_to_german_proverbs,8_attn.v,1
swedish_to_german_proverbs,10_attn.v,1
swedish_to_german_proverbs,28_attn.k,1
symbol_interpretation,17_attn.v,1
symbol_interpretation,22_attn.q,1
symbol_interpretation,24_attn.o,1
symbol_interpretation,29_attn.k,1
temporal_sequences,7_attn.v,1
temporal_sequences,22_attn.k,1
temporal_sequences,22_attn.v,1
temporal_sequences,27_attn.v,1
timedial,11_attn.v,1
timedial,18_attn.v,1
tracking_shuffled_objects,21_attn.v,1
tracking_shuffled_objects,25_attn.o,1
understanding_fables,4_attn.k,1
understanding_fables,5_attn.q,1
understanding_fables,10_attn.v,1
undo_permutation,7_attn.o,1
undo_permutation,10_attn.o,1
undo_permutation,14_attn.v,1
undo_permutation,19_attn.k,1
unit_interpretation,6_attn.q,1
unit_interpretation,11_attn.k,1
unit_interpretation,16_attn.q,1
vitaminc_fact_verification,3_attn.v,1
vitaminc_fact_verification,25_attn.q,1
what_is_the_tao,4_attn.o,1
what_is_the_tao,5_attn.q,1
which_wiki_edit,9_attn.k,1
which_wiki_edit,11_attn.q,1
which_wiki_edit,11_attn.o,1
which_wiki_edit,17_attn.k,1
which_wiki_edit,17_attn.o,1
winowhy,5_attn.k,1
winowhy,11_attn.q,1
winowhy,16_attn.v,1
winowhy,22_attn.k,1
winowhy,28_attn.v,1
abstract_algebra,8_attn.v,1
abstract_algebra,11_attn.v,1
abstract_algebra,14_attn.q,1
abstract_algebra,14_attn.k,1
abstract_algebra,25_attn.o,1
anatomy,7_attn.v,1
anatomy,11_attn.o,1
anatomy,26_attn.q,1
anatomy,27_attn.v,1
anatomy,29_attn.o,1
astronomy,18_attn.o,1
astronomy,23_attn.k,1
astronomy,26_attn.k,1
business_ethics,15_attn.k,1
business_ethics,21_attn.k,1
business_ethics,29_attn.v,1
clinical_knowledge,5_attn.q,1
clinical_knowledge,6_attn.k,1
clinical_knowledge,11_attn.o,1
clinical_knowledge,23_attn.o,1
clinical_knowledge,26_attn.q,1
clinical_knowledge,30_attn.v,1
college_biology,7_attn.q,1
college_biology,17_attn.k,1
college_biology,17_attn.v,1
college_biology,18_attn.k,1
college_biology,28_attn.o,1
college_chemistry,6_attn.q,1
college_chemistry,7_attn.k,1
college_chemistry,30_attn.q,1
college_computer_science,5_attn.q,1
college_computer_science,24_attn.k,1
college_computer_science,24_attn.v,1
college_computer_science,30_attn.q,1
college_mathematics,4_attn.v,1
college_mathematics,5_attn.o,1
college_mathematics,6_attn.q,1
college_mathematics,7_attn.k,1
college_mathematics,14_attn.v,1
college_mathematics,15_attn.k,1
college_mathematics,18_attn.o,1
college_mathematics,26_attn.v,1
college_medicine,6_attn.k,1
college_medicine,17_attn.v,1
college_physics,8_attn.v,1
college_physics,16_attn.k,1
college_physics,17_attn.o,1
college_physics,20_attn.q,1
college_physics,21_attn.q,1
college_physics,28_attn.o,1
computer_security,11_attn.v,1
computer_security,14_attn.o,1
computer_security,20_attn.v,1
computer_security,22_attn.k,1
conceptual_physics,5_attn.k,1
conceptual_physics,7_attn.k,1
conceptual_physics,14_attn.k,1
conceptual_physics,15_attn.o,1
conceptual_physics,29_attn.o,1
econometrics,26_attn.v,1
electrical_engineering,4_attn.o,1
electrical_engineering,5_attn.k,1
electrical_engineering,7_attn.q,1
electrical_engineering,9_attn.k,1
electrical_engineering,10_attn.q,1
electrical_engineering,11_attn.o,1
electrical_engineering,17_attn.o,1
electrical_engineering,21_attn.v,1
elementary_mathematics,17_attn.v,1
formal_logic,9_attn.k,1
formal_logic,14_attn.v,1
formal_logic,26_attn.k,1
global_facts,6_attn.q,1
global_facts,11_attn.k,1
global_facts,13_attn.o,1
global_facts,15_attn.k,1
global_facts,23_attn.k,1
high_school_chemistry,11_attn.q,1
high_school_chemistry,22_attn.o,1
high_school_chemistry,23_attn.k,1
high_school_chemistry,26_attn.q,1
high_school_chemistry,28_attn.v,1
high_school_computer_science,6_attn.q,1
high_school_computer_science,8_attn.o,1
high_school_computer_science,25_attn.v,1
high_school_european_history,5_attn.v,1
high_school_european_history,7_attn.k,1
high_school_european_history,10_attn.o,1
high_school_european_history,12_attn.v,1
high_school_european_history,18_attn.v,1
high_school_european_history,26_attn.o,1
high_school_geography,7_attn.v,1
high_school_geography,14_attn.v,1
high_school_geography,19_attn.k,1
high_school_geography,20_attn.q,1
high_school_geography,24_attn.q,1
high_school_government_and_politics,9_attn.k,1
high_school_government_and_politics,28_attn.q,1
high_school_government_and_politics,28_attn.k,1
high_school_government_and_politics,30_attn.v,1
high_school_macroeconomics,3_attn.k,1
high_school_macroeconomics,6_attn.k,1
high_school_macroeconomics,14_attn.k,1
high_school_macroeconomics,22_attn.k,1
high_school_macroeconomics,25_attn.q,1
high_school_macroeconomics,28_attn.k,1
high_school_mathematics,9_attn.k,1
high_school_mathematics,20_attn.k,1
high_school_mathematics,21_attn.q,1
high_school_mathematics,26_attn.q,1
high_school_microeconomics,4_attn.v,1
high_school_microeconomics,5_attn.v,1
high_school_microeconomics,9_attn.q,1
high_school_microeconomics,16_attn.v,1
high_school_microeconomics,20_attn.q,1
high_school_microeconomics,20_attn.v,1
high_school_microeconomics,28_attn.k,1
high_school_physics,23_attn.v,1
high_school_psychology,4_attn.o,1
high_school_psychology,5_attn.o,1
high_school_psychology,15_attn.q,1
high_school_psychology,17_attn.o,1
high_school_statistics,10_attn.v,1
high_school_statistics,14_attn.q,1
high_school_statistics,16_attn.o,1
high_school_statistics,21_attn.v,1
high_school_statistics,24_attn.q,1
high_school_us_history,7_attn.k,1
high_school_us_history,7_attn.v,1
high_school_us_history,15_attn.k,1
high_school_us_history,18_attn.k,1
high_school_us_history,23_attn.q,1
high_school_world_history,10_attn.o,1
high_school_world_history,11_attn.o,1
high_school_world_history,21_attn.v,1
human_aging,6_attn.k,1
human_aging,8_attn.q,1
human_aging,15_attn.k,1
human_aging,19_attn.v,1
human_aging,25_attn.k,1
human_aging,29_attn.v,1
human_sexuality,4_attn.q,1
human_sexuality,11_attn.o,1
human_sexuality,16_attn.v,1
human_sexuality,27_attn.q,1
international_law,3_attn.v,1
international_law,7_attn.o,1
international_law,15_attn.v,1
international_law,19_attn.q,1
international_law,21_attn.k,1
jurisprudence,3_attn.o,1
jurisprudence,10_attn.v,1
jurisprudence,11_attn.k,1
jurisprudence,21_attn.k,1
logical_fallacies,7_attn.o,1
logical_fallacies,10_attn.v,1
logical_fallacies,14_attn.k,1
logical_fallacies,21_attn.q,1
logical_fallacies,22_attn.q,1
logical_fallacies,22_attn.v,1
logical_fallacies,28_attn.q,1
machine_learning,3_attn.q,1
machine_learning,3_attn.v,1
machine_learning,6_attn.v,1
machine_learning,7_attn.o,1
machine_learning,10_attn.v,1
machine_learning,16_attn.o,1
machine_learning,21_attn.q,1
machine_learning,22_attn.o,1
machine_learning,29_attn.q,1
management,8_attn.o,1
management,27_attn.q,1
marketing,10_attn.v,1
marketing,21_attn.k,1
marketing,22_attn.k,1
marketing,29_attn.o,1
marketing,30_attn.v,1
medical_genetics,3_attn.q,1
medical_genetics,7_attn.k,1
medical_genetics,13_attn.k,1
medical_genetics,14_attn.v,1
medical_genetics,21_attn.q,1
medical_genetics,23_attn.q,1
medical_genetics,25_attn.o,1
medical_genetics,27_attn.o,1
miscellaneous,14_attn.v,1
miscellaneous,22_attn.v,1
miscellaneous,24_attn.o,1
moral_disputes,18_attn.v,1
moral_disputes,25_attn.o,1
moral_scenarios,16_attn.k,1
moral_scenarios,19_attn.k,1
moral_scenarios,20_attn.q,1
moral_scenarios,27_attn.q,1
moral_scenarios,28_attn.v,1
nutrition,6_attn.v,1
nutrition,20_attn.v,1
philosophy,12_attn.q,1
prehistory,9_attn.k,1
prehistory,19_attn.o,1
professional_accounting,5_attn.q,1
professional_accounting,27_attn.v,1
professional_law,9_attn.o,1
professional_law,19_attn.q,1
professional_law,26_attn.k,1
professional_law,28_attn.q,1
professional_medicine,4_attn.k,1
professional_medicine,6_attn.v,1
professional_medicine,25_attn.q,1
professional_medicine,30_attn.k,1
professional_psychology,5_attn.q,1
professional_psychology,19_attn.v,1
professional_psychology,22_attn.q,1
professional_psychology,24_attn.k,1
public_relations,12_attn.v,1
public_relations,13_attn.v,1
public_relations,20_attn.v,1
public_relations,28_attn.q,1
security_studies,5_attn.k,1
security_studies,22_attn.k,1
security_studies,28_attn.v,1
sociology,4_attn.q,1
sociology,12_attn.v,1
sociology,14_attn.o,1
sociology,18_attn.v,1
sociology,21_attn.q,1
sociology,26_attn.k,1
us_foreign_policy,3_attn.k,1
us_foreign_policy,6_attn.k,1
us_foreign_policy,26_attn.k,1
us_foreign_policy,26_attn.o,1
us_foreign_policy,29_attn.k,1
us_foreign_policy,30_attn.o,1
virology,4_attn.v,1
virology,5_attn.q,1
virology,21_attn.v,1
virology,22_attn.q,1
virology,28_attn.v,1
world_religions,7_attn.v,1
world_religions,13_attn.q,1
world_religions,16_attn.o,1
world_religions,19_attn.k,1
world_religions,20_attn.q,1
world_religions,28_attn.k,1
world_religions,30_attn.q,1
math_qa,6_attn.q,1
math_qa,8_attn.o,1
math_qa,24_attn.q,1
math_qa,28_attn.v,1
EleutherAI/truthful_qa_mc,6_attn.v,1
EleutherAI/truthful_qa_mc,18_attn.v,1
derek-thomas/ScienceQA,5_attn.v,1
derek-thomas/ScienceQA,12_attn.o,1
commonsense_qa,22_attn.q,1
commonsense_qa,27_attn.q,1
commonsense_qa,30_attn.o,1
